district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Jogulamba Gadwal,Alampur,10.0,2024,0.2106,4.6922,0.00,batch_0
Jogulamba Gadwal,Dharoor,10.0,2024,0.3392,3.6806,0.00,batch_0
Jogulamba Gadwal,Gadwal,10.0,2024,0.3918,4.0863,0.00,batch_0
Jogulamba Gadwal,Ghattu,10.0,2024,0.3321,3.7548,0.00,batch_0
Jogulamba Gadwal,Itikyal,10.0,2024,0.4081,4.2834,0.00,batch_0
Jogulamba Gadwal,Kaloor_Thimmandoddi,10.0,2024,0.3801,3.5325,0.00,batch_0
Jogulamba Gadwal,Maldakal,10.0,2024,0.3734,3.9729,0.00,batch_0
Jogulamba Gadwal,Manopad,10.0,2024,0.3816,4.2561,0.00,batch_0
Jogulamba Gadwal,Rajoli,10.0,2024,0.3707,4.6161,0.00,batch_0
Jogulamba Gadwal,Undavelly,10.0,2024,0.3393,4.3765,0.00,batch_0
Jogulamba Gadwal,Waddepally,10.0,2024,0.3816,4.5591,0.00,batch_0
Jogulamba Gadwal,Yerravalli,10.0,2024,0.3584,4.2427,0.00,batch_0
Jogulamba Gadwal,Aiza,12.0,2024,0.2759,0.1637,0.00,batch_0
Jogulamba Gadwal,Alampur,12.0,2024,0.2163,0.1865,0.00,batch_0
Jogulamba Gadwal,Dharoor,12.0,2024,0.1840,0.1312,0.00,batch_0
Jogulamba Gadwal,Gadwal,12.0,2024,0.2433,0.1535,0.00,batch_0
Jogulamba Gadwal,Ghattu,12.0,2024,0.2278,0.1490,0.00,batch_0
Jogulamba Gadwal,Itikyal,12.0,2024,0.3298,0.1582,0.00,batch_0
Jogulamba Gadwal,Kaloor_Thimmandoddi,12.0,2024,0.2120,0.1416,0.00,batch_0
Jogulamba Gadwal,Maldakal,12.0,2024,0.2800,0.1316,0.00,batch_0
Jogulamba Gadwal,Manopad,12.0,2024,0.3218,0.1906,0.00,batch_0
Jogulamba Gadwal,Rajoli,12.0,2024,0.3146,0.1953,0.00,batch_0
Jogulamba Gadwal,Undavelly,12.0,2024,0.2806,0.1839,0.00,batch_0
Jogulamba Gadwal,Waddepally,12.0,2024,0.3094,0.1924,0.00,batch_0
Jogulamba Gadwal,Yerravalli,12.0,2024,0.2871,0.1857,0.00,batch_0
